,Content ID,Reaction Type,Datetime,Content Type,Category,Sentiment,Score,,Category,Score
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,11/7/2020 9:43,photo,Studying,negative,0,,Animals,68624
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,6/17/2021 12:22,photo,Studying,negative,10,,science,65405
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,4/18/2021 5:13,photo,Studying,negative,15,,healthy eating,63138
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,1/6/2021 19:13,photo,Studying,negative,0,,technology,63035
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,8/23/2020 12:25,photo,Studying,positive,30,,food,61598
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,12/7/2020 6:27,photo,Studying,neutral,35,,culture,60663
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,4/11/2021 17:35,photo,Studying,positive,70,,travel,59358
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,1/27/2021 8:32,photo,Studying,negative,5,,cooking,59174
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,4/1/2021 22:54,photo,Studying,neutral,35,,soccer,53216
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,11/7/2020 8:36,photo,Studying,neutral,20,,education,52759
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,11/2/2020 6:28,photo,Studying,negative,15,,fitness,50835
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,11/1/2020 1:16,photo,Studying,positive,30,,Studying,49207
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,10/7/2020 18:39,photo,Studying,negative,5,,dogs,48398
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,9/3/2020 18:51,photo,Studying,negative,15,,tennis,46185
16,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2/24/2021 5:09,photo,Studying,positive,75,,veganism,45901
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,9/23/2020 6:24,photo,Studying,neutral,35,,public speaking,45751
18,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2/24/2021 11:37,photo,Studying,neutral,20,,,
19,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,5/22/2021 19:44,photo,Studying,positive,30,,,
21,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,11/20/2020 17:26,photo,Studying,neutral,35,,,
22,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,4/11/2021 20:47,photo,Studying,negative,12,,,
23,97522e57-d9ab-4bd6-97bf-c24d952602d2,like,6/13/2021 16:46,photo,Studying,positive,50,,,
24,97522e57-d9ab-4bd6-97bf-c24d952602d2,heart,4/11/2021 14:29,photo,Studying,positive,60,,,
25,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,3/2/2021 19:21,photo,Studying,negative,12,,,
26,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,6/27/2020 18:44,photo,Studying,negative,5,,,
27,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,5/9/2021 21:05,photo,Studying,negative,5,,,
28,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,8/4/2020 23:58,photo,Studying,positive,70,,,
29,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,8/28/2020 3:57,photo,Studying,positive,75,,,
31,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,4/20/2021 23:48,photo,Studying,negative,15,,,
32,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,3/7/2021 12:40,photo,Studying,positive,30,,,
33,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,5/24/2021 3:21,photo,Studying,neutral,20,,,
34,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,1/24/2021 11:03,photo,Studying,positive,75,,,
35,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,4/9/2021 2:46,photo,Studying,negative,0,,,
36,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2/2/2021 3:43,photo,Studying,positive,75,,,
37,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2/4/2021 3:06,photo,Studying,positive,30,,,
38,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,11/9/2020 2:49,photo,Studying,negative,10,,,
39,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,9/29/2020 16:00,photo,Studying,negative,15,,,
41,97522e57-d9ab-4bd6-97bf-c24d952602d2,want,2/13/2021 7:54,photo,Studying,positive,70,,,
42,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,7/14/2020 5:28,photo,Studying,positive,30,,,
